review_id,restaurant_id,rating,review_text,review_date
REV-00012,CLT-002,4,Love the ambiance — perfect for a date night in South End. The fries was absolutely delicious. It's a decent option if you're in the South End area. Some dishes were better than others at All American Pub. We couldn't stop eating the fries.,2024-08-07
REV-00013,CLT-003,5,The staff at McAlister's Deli made us feel welcome from the start. Average sandwich restaurant in Charlotte. The team here really knows how to take care of their guests. The Greater Charlotte location has a great vibe.,2024-02-17
REV-00014,CLT-003,2,The soup and sandwich combo was overcooked and dry. It's an okay spot for a casual meal. I've had better sandwich food from a food truck.,2023-02-21
REV-00015,CLT-004,3,The american flavors were authentic and well-balanced. Our server was friendly and attentive. Wouldn't order the grilled chicken again.,2023-08-07
REV-00016,CLT-004,3,Our server was friendly and attentive. The grilled chicken was absolutely delicious. The Greater Charlotte location has a great vibe.,2023-10-20
REV-00017,CLT-004,2,Our server seemed overwhelmed and forgot our order twice. The restaurant was way too loud — couldn't hear our conversation. Wouldn't order the grilled chicken again. It was uncomfortably crowded and the tables are too close together. The food was mediocre at best for a american restaurant. It was uncomfortably crowded and the tables are too close together.,2023-05-03
REV-00018,CLT-004,3,Unfortunately the service ruined what could have been a good meal. Best american food I've had in Charlotte. The american flavors were authentic and well-balanced. Parking was a nightmare near Supperclub.,2024-08-01
REV-00019,CLT-005,5,"The outdoor patio is fantastic, especially in the evening. Every dish we ordered was fresh and flavorful. The calzone was absolutely delicious. The Montford location has a great vibe. The outdoor patio is fantastic, especially in the evening.",2023-12-24
REV-00020,CLT-005,3,Disappointed with the garlic knots — it tasted like it sat under a heat lamp. Our server was friendly and attentive. The menu has a good selection but nothing really wowed me. The menu has a good selection but nothing really wowed me.,2024-09-18
REV-00021,CLT-005,3,"Parking was a nightmare near Pizzeria Omaggio. The decor gives it a cozy, authentic feel. I'd give it another try, but I wasn't blown away.",2023-09-28
REV-00022,CLT-005,2,"For the price, I expected much better pizza food. The place could use a serious deep clean. The staff seemed disinterested — not what I expect in Montford.",2023-09-15
REV-00023,CLT-005,2,The service was slow and inattentive. It's an okay spot for a casual meal. The staff seemed disinterested — not what I expect in Montford.,2024-07-28
REV-00024,CLT-005,1,"It was uncomfortably crowded and the tables are too close together. The buffalo wings was fine — nothing special, nothing terrible. Our server seemed overwhelmed and forgot our order twice.",2023-11-12
REV-00025,CLT-006,3,"The mac and cheese was fine — nothing special, nothing terrible. They accommodated our dietary restrictions without any fuss. The team here really knows how to take care of their guests.",2023-04-16
REV-00026,CLT-006,3,"It was uncomfortably crowded and the tables are too close together. The chef clearly knows american cuisine inside and out. Some dishes were better than others at CO. It's convenient if you live nearby but I wouldn't drive across town for it. I'd give it another try, but I wasn't blown away. We loved the fries — perfectly prepared.",2023-12-07
REV-00027,CLT-006,2,It was uncomfortably crowded and the tables are too close together. The restaurant was way too loud — couldn't hear our conversation. Our server seemed overwhelmed and forgot our order twice. The service was slow and inattentive. My burger arrived cold and had to be sent back. The service was slow and inattentive.,2023-03-13
REV-00028,CLT-007,2,"Not the nicest spot in Greater Charlotte — a bit run down. The place could use a serious deep clean. I'd give it another try, but I wasn't blown away. We waited over 30 minutes just to get our drinks. Unfortunately the service ruined what could have been a good meal.",2024-03-22
REV-00029,CLT-007,1,It was uncomfortably crowded and the tables are too close together. Average italian restaurant in Charlotte. The lighting was harsh and uninviting.,2024-11-17
REV-00030,CLT-008,5,"The outdoor patio is fantastic, especially in the evening. Every dish we ordered was fresh and flavorful. Service was fast even on a busy Saturday night. Love the ambiance — perfect for a date night in South End. The team here really knows how to take care of their guests. Great spot for brunch in the South End area.",2024-02-20
REV-00031,CLT-008,5,Their steak rivals anything I've had in South End. They accommodated our dietary restrictions without any fuss. We couldn't stop eating the grilled chicken.,2023-06-23
REV-00032,CLT-008,3,We waited over 30 minutes just to get our drinks. The place could use a serious deep clean. The energy in this place is always lively and welcoming. It's a decent option if you're in the South End area. The lighting was harsh and uninviting.,2023-08-19
REV-00033,CLT-008,5,The menu has a great variety of american options. The menu has a great variety of american options. Love the ambiance — perfect for a date night in South End. They accommodated our dietary restrictions without any fuss.,2023-06-01
REV-00034,CLT-009,3,"The burger was fine — nothing special, nothing terrible. The grilled chicken was fine — nothing special, nothing terrible. Great service — our waiter was knowledgeable about the menu.",2024-12-13
REV-00035,CLT-009,4,The menu has a great variety of american options. Great spot for brunch in the Greater Charlotte area. Great service — our waiter was knowledgeable about the menu.,2024-05-31
REV-00036,CLT-010,4,"The decor gives it a cozy, authentic feel. Every dish we ordered was fresh and flavorful. They accommodated our dietary restrictions without any fuss. Every dish we ordered was fresh and flavorful. The Montford location has a great vibe. The team here really knows how to take care of their guests.",2024-12-24
REV-00037,CLT-010,1,"Not the nicest spot in Montford — a bit run down. Average international restaurant in Charlotte. The lighting was harsh and uninviting. Not the nicest spot in Montford — a bit run down. The house salad was fine — nothing special, nothing terrible. The staff seemed disinterested — not what I expect in Montford.",2024-05-14
REV-00038,CLT-010,3,Wouldn't order the special of the day again. The food was mediocre at best for a international restaurant. Parking was a nightmare near Viva Chicken. It's an okay spot for a casual meal. The menu has a good selection but nothing really wowed me. Average international restaurant in Charlotte.,2024-09-29
REV-00039,CLT-010,4,The Montford location has a great vibe. The menu has a great variety of international options. Average international restaurant in Charlotte. Service was fast even on a busy Saturday night. Service was fast even on a busy Saturday night. Great spot for brunch in the Montford area.,2023-12-25
REV-00040,CLT-010,4,The Montford location has a great vibe. The signature dish was absolutely delicious. The team here really knows how to take care of their guests.,2024-07-31
REV-00041,CLT-010,4,The staff at Viva Chicken made us feel welcome from the start. Every dish we ordered was fresh and flavorful. Great service — our waiter was knowledgeable about the menu. Love the ambiance — perfect for a date night in Montford. Love the ambiance — perfect for a date night in Montford. The team here really knows how to take care of their guests.,2024-08-02
REV-00042,CLT-011,1,The place could use a serious deep clean. We waited over 30 minutes just to get our drinks. Nothing about the mac and cheese stood out — very forgettable. Unfortunately the service ruined what could have been a good meal. Parking was a nightmare near Tipsy Burro.,2023-10-04
REV-00043,CLT-011,1,Parking was a nightmare near Tipsy Burro. Disappointed with the mac and cheese — it tasted like it sat under a heat lamp. I've had better american food from a food truck. The service was slow and inattentive. Our server seemed overwhelmed and forgot our order twice. The service was slow and inattentive.,2024-09-02
REV-00044,CLT-011,1,It was uncomfortably crowded and the tables are too close together. Had to flag someone down just to get the check. Not the nicest spot in Greater Charlotte — a bit run down. We waited over 30 minutes just to get our drinks. Unfortunately the service ruined what could have been a good meal.,2023-11-10
REV-00045,CLT-011,1,The place could use a serious deep clean. The place could use a serious deep clean. The service was slow and inattentive. It was uncomfortably crowded and the tables are too close together. It's an okay spot for a casual meal.,2023-08-10
REV-00046,CLT-011,2,"Parking was a nightmare near Tipsy Burro. For the price, I expected much better american food. We waited over 30 minutes just to get our drinks. We waited over 30 minutes just to get our drinks. It was uncomfortably crowded and the tables are too close together.",2024-05-17
REV-00047,CLT-011,5,They accommodated our dietary restrictions without any fuss. Every dish we ordered was fresh and flavorful. The menu has a good selection but nothing really wowed me.,2024-05-18
REV-00048,CLT-012,1,The place could use a serious deep clean. The appetizer sampler was overcooked and dry. It was uncomfortably crowded and the tables are too close together.,2024-04-06
REV-00049,CLT-012,5,Service was fast even on a busy Saturday night. The Plaza Midwood location has a great vibe. The team here really knows how to take care of their guests. We couldn't stop eating the special of the day. They accommodated our dietary restrictions without any fuss.,2023-10-26
REV-00050,CLT-012,5,"The decor gives it a cozy, authentic feel. The team here really knows how to take care of their guests. Love the ambiance — perfect for a date night in Plaza Midwood. We loved the special of the day — perfectly prepared. Great service — our waiter was knowledgeable about the menu.",2024-03-25
REV-00051,CLT-013,5,"Great service — our waiter was knowledgeable about the menu. The chef clearly knows american cuisine inside and out. The outdoor patio is fantastic, especially in the evening. The wings is a must-try if you visit Soma Grill. Great spot for brunch in the Matthews area.",2024-11-19
REV-00052,CLT-013,5,The menu has a great variety of american options. The staff at Soma Grill made us feel welcome from the start. Our server was friendly and attentive.,2023-12-23
REV-00053,CLT-013,4,"The american flavors were authentic and well-balanced. The team here really knows how to take care of their guests. The Matthews location has a great vibe. I'd give it another try, but I wasn't blown away. Average american restaurant in Charlotte.",2023-01-02
REV-00054,CLT-013,4,"We couldn't stop eating the mac and cheese. The team here really knows how to take care of their guests. Every dish we ordered was fresh and flavorful. I'd give it another try, but I wasn't blown away. Our server was friendly and attentive. Love the ambiance — perfect for a date night in Matthews.",2023-06-12
REV-00055,CLT-013,3,Had to flag someone down just to get the check. The american flavors were authentic and well-balanced. The menu has a good selection but nothing really wowed me.,2024-04-17
REV-00056,CLT-013,5,"The outdoor patio is fantastic, especially in the evening. They accommodated our dietary restrictions without any fuss. Love the ambiance — perfect for a date night in Matthews. Great spot for brunch in the Matthews area.",2023-05-20
REV-00057,CLT-013,4,Service was fast even on a busy Saturday night. Every dish we ordered was fresh and flavorful. Great spot for brunch in the Matthews area. The menu has a great variety of american options. Great service — our waiter was knowledgeable about the menu.,2024-01-22
REV-00058,CLT-014,4,"Love the ambiance — perfect for a date night in Greater Charlotte. Our server was friendly and attentive. The decor gives it a cozy, authentic feel. Love the ambiance — perfect for a date night in Greater Charlotte. We couldn't stop eating the steak.",2023-12-06
REV-00059,CLT-014,2,We waited over 30 minutes just to get our drinks. It's an okay spot for a casual meal. The service was slow and inattentive. The restaurant was way too loud — couldn't hear our conversation. Not the nicest spot in Greater Charlotte — a bit run down. The staff seemed disinterested — not what I expect in Greater Charlotte.,2024-09-24
REV-00060,CLT-014,5,"The Greater Charlotte location has a great vibe. The energy in this place is always lively and welcoming. The outdoor patio is fantastic, especially in the evening. It's a decent option if you're in the Greater Charlotte area. The staff at Angry Ale's made us feel welcome from the start.",2024-06-27
REV-00061,CLT-014,3,Our server was friendly and attentive. The american flavors were authentic and well-balanced. Some dishes were better than others at Angry Ale's. It was uncomfortably crowded and the tables are too close together.,2023-09-04
REV-00062,CLT-015,3,Great service — our waiter was knowledgeable about the menu. The place could use a serious deep clean. I've had better american food from a food truck. Parking was a nightmare near Pollo Royal.,2024-04-21
REV-00063,CLT-015,2,The staff seemed disinterested — not what I expect in Greater Charlotte. Unfortunately the service ruined what could have been a good meal. Our server seemed overwhelmed and forgot our order twice. My grilled chicken arrived cold and had to be sent back.,2024-08-08
REV-00064,CLT-015,3,It's a decent option if you're in the Greater Charlotte area. We loved the wings — perfectly prepared. My mac and cheese arrived cold and had to be sent back. The steak was absolutely delicious. Some dishes were better than others at Pollo Royal.,2023-02-20
REV-00065,CLT-015,5,The staff at Pollo Royal made us feel welcome from the start. The steak is a must-try if you visit Pollo Royal. The energy in this place is always lively and welcoming. The Greater Charlotte location has a great vibe. They accommodated our dietary restrictions without any fuss. Love the ambiance — perfect for a date night in Greater Charlotte.,2023-10-30
REV-00066,CLT-015,3,"The staff at Pollo Royal made us feel welcome from the start. We couldn't stop eating the steak. I'd give it another try, but I wasn't blown away. Our server seemed overwhelmed and forgot our order twice. Average american restaurant in Charlotte. The menu has a good selection but nothing really wowed me.",2023-09-21
REV-00067,CLT-015,5,The team here really knows how to take care of their guests. Our server was friendly and attentive. Their steak rivals anything I've had in Greater Charlotte. Our server was friendly and attentive. Service was fast even on a busy Saturday night. Great service — our waiter was knowledgeable about the menu.,2024-10-15
REV-00068,CLT-015,1,We waited over 30 minutes just to get our drinks. The place could use a serious deep clean. I've had better american food from a food truck.,2023-11-06
REV-00069,CLT-016,3,We couldn't stop eating the pepperoni pizza. Best pizza food I've had in Charlotte. Wouldn't order the pepperoni pizza again.,2023-04-10
REV-00070,CLT-016,3,"The food was mediocre at best for a pizza restaurant. Disappointed with the buffalo wings — it tasted like it sat under a heat lamp. For the price, I expected much better pizza food. Some dishes were better than others at Pizza Hut.",2024-02-29
REV-00071,CLT-016,3,It was uncomfortably crowded and the tables are too close together. Love the ambiance — perfect for a date night in Greater Charlotte. It's a decent option if you're in the Greater Charlotte area. They accommodated our dietary restrictions without any fuss. Nothing about the margherita stood out — very forgettable. It's an okay spot for a casual meal.,2023-04-12
REV-00072,CLT-016,4,"The outdoor patio is fantastic, especially in the evening. We loved the calzone — perfectly prepared. Some dishes were better than others at Pizza Hut. The pizza flavors were authentic and well-balanced. Love the ambiance — perfect for a date night in Greater Charlotte.",2024-07-21
REV-00073,CLT-016,3,It's a decent option if you're in the Greater Charlotte area. The energy in this place is always lively and welcoming. Average pizza restaurant in Charlotte. The garlic knots was absolutely delicious.,2023-05-29
REV-00074,CLT-016,3,It's convenient if you live nearby but I wouldn't drive across town for it. The menu has a great variety of pizza options. We couldn't stop eating the pepperoni pizza. The margherita was bland and underseasoned. Unfortunately the service ruined what could have been a good meal.,2023-01-17
REV-00075,CLT-017,3,"We couldn't stop eating the wings. For the price, I expected much better american food. The menu has a great variety of american options.",2023-03-07
REV-00076,CLT-017,3,We waited over 30 minutes just to get our drinks. Their grilled chicken rivals anything I've had in Greater Charlotte. We waited over 30 minutes just to get our drinks. It was uncomfortably crowded and the tables are too close together. It's an okay spot for a casual meal.,2024-06-17
REV-00077,CLT-017,3,The grilled chicken is a must-try if you visit The Palm. It's an okay spot for a casual meal. The portions were tiny and the flavors were flat.,2023-04-21
REV-00078,CLT-017,3,Every dish we ordered was fresh and flavorful. Great spot for brunch in the Greater Charlotte area. The chef clearly knows american cuisine inside and out. We couldn't stop eating the mac and cheese. It was uncomfortably crowded and the tables are too close together. Unfortunately the service ruined what could have been a good meal.,2024-12-30
REV-00079,CLT-017,4,"The decor gives it a cozy, authentic feel. We couldn't stop eating the wings. They accommodated our dietary restrictions without any fuss. They accommodated our dietary restrictions without any fuss. They accommodated our dietary restrictions without any fuss.",2024-11-12
REV-00080,CLT-017,5,"Our server was friendly and attentive. Their burger rivals anything I've had in Greater Charlotte. The staff at The Palm made us feel welcome from the start. The wings was fine — nothing special, nothing terrible.",2023-05-06
REV-00081,CLT-017,5,"The Greater Charlotte location has a great vibe. Our server was friendly and attentive. The menu has a great variety of american options. Great service — our waiter was knowledgeable about the menu. I'd give it another try, but I wasn't blown away. Great service — our waiter was knowledgeable about the menu.",2024-09-20
REV-00082,CLT-018,5,"The energy in this place is always lively and welcoming. I'd give it another try, but I wasn't blown away. Service was fast even on a busy Saturday night.",2023-07-05
REV-00083,CLT-018,4,The energy in this place is always lively and welcoming. Some dishes were better than others at Monterrey Mexican Restaurant. The staff at Monterrey Mexican Restaurant made us feel welcome from the start. Great service — our waiter was knowledgeable about the menu. It's a decent option if you're in the Matthews area. The Matthews location has a great vibe.,2023-03-25
REV-00084,CLT-018,5,They accommodated our dietary restrictions without any fuss. The Matthews location has a great vibe. The team here really knows how to take care of their guests. The energy in this place is always lively and welcoming. Average american restaurant in Charlotte. Some dishes were better than others at Monterrey Mexican Restaurant.,2023-08-05
REV-00085,CLT-019,3,"The outdoor patio is fantastic, especially in the evening. The menu has a great variety of japanese options. Wouldn't order the teriyaki again. The portions were tiny and the flavors were flat. We couldn't stop eating the gyoza.",2024-06-29
REV-00086,CLT-019,4,"The Greater Charlotte location has a great vibe. The menu has a good selection but nothing really wowed me. The decor gives it a cozy, authentic feel. Our server was friendly and attentive. The ramen was fine — nothing special, nothing terrible.",2024-09-24
REV-00087,CLT-019,3,The japanese flavors were authentic and well-balanced. It's an okay spot for a casual meal. The team here really knows how to take care of their guests. Unfortunately the service ruined what could have been a good meal. Our server seemed overwhelmed and forgot our order twice.,2024-02-10
REV-00088,CLT-019,3,"Great service — our waiter was knowledgeable about the menu. The ramen was fine — nothing special, nothing terrible. Every dish we ordered was fresh and flavorful. The place could use a serious deep clean. Our server seemed overwhelmed and forgot our order twice.",2023-07-18
REV-00089,CLT-019,5,"Love the ambiance — perfect for a date night in Greater Charlotte. I'd give it another try, but I wasn't blown away. We loved the ramen — perfectly prepared. The decor gives it a cozy, authentic feel. The decor gives it a cozy, authentic feel.",2024-08-01
REV-00090,CLT-019,3,Some dishes were better than others at Edomae Sushi & Hibachi. Great spot for brunch in the Greater Charlotte area. Nothing about the sushi stood out — very forgettable. The gyoza was overcooked and dry. The place could use a serious deep clean.,2023-10-09
REV-00091,CLT-020,3,"We waited over 30 minutes just to get our drinks. The decor gives it a cozy, authentic feel. Nothing about the pasta stood out — very forgettable. The risotto is a must-try if you visit Portofino's. The menu has a good selection but nothing really wowed me.",2023-03-20
REV-00092,CLT-020,3,It was uncomfortably crowded and the tables are too close together. We waited over 30 minutes just to get our drinks. I've had better italian food from a food truck.,2024-07-21
REV-00093,CLT-021,4,The energy in this place is always lively and welcoming. Great service — our waiter was knowledgeable about the menu. Our server was friendly and attentive.,2023-03-28
REV-00094,CLT-021,4,"The decor gives it a cozy, authentic feel. Love the ambiance — perfect for a date night in Greater Charlotte. They accommodated our dietary restrictions without any fuss. Great spot for brunch in the Greater Charlotte area.",2024-10-08
REV-00095,CLT-021,4,The energy in this place is always lively and welcoming. The energy in this place is always lively and welcoming. Our server was friendly and attentive.,2024-11-10
REV-00096,CLT-021,5,The energy in this place is always lively and welcoming. The energy in this place is always lively and welcoming. The team here really knows how to take care of their guests. The energy in this place is always lively and welcoming. The Greater Charlotte location has a great vibe.,2024-11-17
REV-00097,CLT-022,3,"We loved the dumplings — perfectly prepared. The decor gives it a cozy, authentic feel. They accommodated our dietary restrictions without any fuss. The lo mein was fine — nothing special, nothing terrible. Service was fast even on a busy Saturday night.",2023-05-21
REV-00098,CLT-022,5,We couldn't stop eating the hot and sour soup. The Myers Park location has a great vibe. Love the ambiance — perfect for a date night in Myers Park. Best chinese food I've had in Charlotte. The menu has a great variety of chinese options.,2024-02-25
REV-00099,CLT-023,3,"Nothing about the buffalo wings stood out — very forgettable. The outdoor patio is fantastic, especially in the evening. Great service — our waiter was knowledgeable about the menu. The team here really knows how to take care of their guests.",2024-04-25
REV-00100,CLT-023,1,"Not the nicest spot in Greater Charlotte — a bit run down. The staff seemed disinterested — not what I expect in Greater Charlotte. My buffalo wings arrived cold and had to be sent back. I'd give it another try, but I wasn't blown away.",2024-10-18
REV-00101,CLT-023,2,"The pepperoni pizza was overcooked and dry. For the price, I expected much better pizza food. Nothing about the pepperoni pizza stood out — very forgettable. I've had better pizza food from a food truck. We waited over 30 minutes just to get our drinks.",2024-05-29
REV-00102,CLT-023,2,"Our server seemed overwhelmed and forgot our order twice. The portions were tiny and the flavors were flat. I'd give it another try, but I wasn't blown away. I've had better pizza food from a food truck. The garlic knots was bland and underseasoned. The buffalo wings was overcooked and dry.",2024-06-24
REV-00103,CLT-024,3,The team here really knows how to take care of their guests. The menu has a great variety of mexican options. The team here really knows how to take care of their guests. The place could use a serious deep clean. It was uncomfortably crowded and the tables are too close together.,2023-03-06
REV-00104,CLT-024,4,"We couldn't stop eating the quesadilla. Every dish we ordered was fresh and flavorful. The burrito was fine — nothing special, nothing terrible. We loved the quesadilla — perfectly prepared. We couldn't stop eating the quesadilla. Great spot for brunch in the Greater Charlotte area.",2024-02-04
REV-00105,CLT-024,3,The place could use a serious deep clean. Disappointed with the enchiladas — it tasted like it sat under a heat lamp. Some dishes were better than others at Morazan Restaurant.,2024-01-01
REV-00106,CLT-024,4,"The energy in this place is always lively and welcoming. The outdoor patio is fantastic, especially in the evening. The churros was fine — nothing special, nothing terrible. The decor gives it a cozy, authentic feel. Best mexican food I've had in Charlotte.",2024-04-13
REV-00107,CLT-024,2,The enchiladas was bland and underseasoned. Not the nicest spot in Greater Charlotte — a bit run down. We waited over 30 minutes just to get our drinks. The service was slow and inattentive.,2023-02-18
REV-00108,CLT-025,3,"Love the ambiance — perfect for a date night in Greater Charlotte. It's convenient if you live nearby but I wouldn't drive across town for it. The portions were tiny and the flavors were flat. Some dishes were better than others at Chicken King. The appetizer sampler was fine — nothing special, nothing terrible.",2023-12-14
REV-00109,CLT-025,4,"Great service — our waiter was knowledgeable about the menu. The decor gives it a cozy, authentic feel. We couldn't stop eating the house salad. The chicken flavors were authentic and well-balanced. The energy in this place is always lively and welcoming. Service was fast even on a busy Saturday night.",2023-02-13
REV-00110,CLT-025,2,The service was slow and inattentive. Average chicken restaurant in Charlotte. The lighting was harsh and uninviting. Wouldn't order the appetizer sampler again. The menu has a good selection but nothing really wowed me.,2024-10-22
REV-00111,CLT-025,3,The staff seemed disinterested — not what I expect in Greater Charlotte. The restaurant was way too loud — couldn't hear our conversation. The lighting was harsh and uninviting. Disappointed with the house salad — it tasted like it sat under a heat lamp. Nothing about the special of the day stood out — very forgettable. The staff seemed disinterested — not what I expect in Greater Charlotte.,2024-06-26
REV-00112,CLT-025,4,We loved the special of the day — perfectly prepared. Great service — our waiter was knowledgeable about the menu. Every dish we ordered was fresh and flavorful. The chef clearly knows chicken cuisine inside and out. The staff at Chicken King made us feel welcome from the start.,2023-05-19
REV-00113,CLT-026,5,"The decor gives it a cozy, authentic feel. The team here really knows how to take care of their guests. Great spot for brunch in the Uptown area. Best greek food I've had in Charlotte. The souvlaki is a must-try if you visit Nefelie's. Our server was friendly and attentive.",2024-07-21
REV-00114,CLT-026,5,"Love the ambiance — perfect for a date night in Uptown. Every dish we ordered was fresh and flavorful. The decor gives it a cozy, authentic feel. Great service — our waiter was knowledgeable about the menu. The gyro was fine — nothing special, nothing terrible. Great spot for brunch in the Uptown area.",2023-05-12
REV-00115,CLT-026,5,Their Greek salad rivals anything I've had in Uptown. We loved the Greek salad — perfectly prepared. Best greek food I've had in Charlotte. The greek flavors were authentic and well-balanced.,2023-10-18
REV-00116,CLT-027,3,Service was fast even on a busy Saturday night. Love the ambiance — perfect for a date night in Greater Charlotte. The place could use a serious deep clean. It was uncomfortably crowded and the tables are too close together. The steak_house flavors were authentic and well-balanced.,2024-10-18
REV-00117,CLT-027,5,"The energy in this place is always lively and welcoming. The Greater Charlotte location has a great vibe. I'd give it another try, but I wasn't blown away. Great service — our waiter was knowledgeable about the menu.",2024-05-24
REV-00118,CLT-027,2,Had to flag someone down just to get the check. Not the nicest spot in Greater Charlotte — a bit run down. The restaurant was way too loud — couldn't hear our conversation. Had to flag someone down just to get the check. The portions were tiny and the flavors were flat.,2023-12-20
REV-00119,CLT-028,4,Great spot for brunch in the Greater Charlotte area. Our server was friendly and attentive. We loved the sushi — perfectly prepared. Great service — our waiter was knowledgeable about the menu.,2023-09-12
REV-00120,CLT-028,3,It's a decent option if you're in the Greater Charlotte area. It's convenient if you live nearby but I wouldn't drive across town for it. It's an okay spot for a casual meal. Service was fast even on a busy Saturday night.,2024-05-25
REV-00121,CLT-028,2,"Had to flag someone down just to get the check. Average japanese restaurant in Charlotte. My miso soup arrived cold and had to be sent back. For the price, I expected much better japanese food. The lighting was harsh and uninviting. Disappointed with the gyoza — it tasted like it sat under a heat lamp.",2023-05-18
REV-00122,CLT-029,3,"I'd give it another try, but I wasn't blown away. Disappointed with the special of the day — it tasted like it sat under a heat lamp. My special of the day arrived cold and had to be sent back. The staff seemed disinterested — not what I expect in Dilworth. Disappointed with the house salad — it tasted like it sat under a heat lamp.",2023-03-17
REV-00123,CLT-029,4,Great service — our waiter was knowledgeable about the menu. The menu has a good selection but nothing really wowed me. Great service — our waiter was knowledgeable about the menu. The chef clearly knows hot_dog cuisine inside and out. The signature dish was absolutely delicious. Great service — our waiter was knowledgeable about the menu.,2023-06-02
REV-00124,CLT-029,3,Great spot for brunch in the Dilworth area. Our server was friendly and attentive. It was uncomfortably crowded and the tables are too close together. Unfortunately the service ruined what could have been a good meal.,2024-06-03
REV-00125,CLT-029,5,"They accommodated our dietary restrictions without any fuss. The Dilworth location has a great vibe. The energy in this place is always lively and welcoming. The team here really knows how to take care of their guests. The decor gives it a cozy, authentic feel. Great spot for brunch in the Dilworth area.",2023-06-01
REV-00126,CLT-029,3,"Best hot_dog food I've had in Charlotte. Service was fast even on a busy Saturday night. Nothing about the house salad stood out — very forgettable. For the price, I expected much better hot_dog food.",2024-02-27
REV-00127,CLT-030,3,We waited over 30 minutes just to get our drinks. Average american restaurant in Charlotte. Some dishes were better than others at First Watch. It's an okay spot for a casual meal. The menu has a good selection but nothing really wowed me. Our server seemed overwhelmed and forgot our order twice.,2024-07-28
REV-00128,CLT-030,1,"Our server seemed overwhelmed and forgot our order twice. The staff seemed disinterested — not what I expect in Ballantyne. The lighting was harsh and uninviting. The staff seemed disinterested — not what I expect in Ballantyne. For the price, I expected much better american food. The service was slow and inattentive.",2023-08-01
REV-00129,CLT-030,2,The staff seemed disinterested — not what I expect in Ballantyne. Wouldn't order the wings again. The service was slow and inattentive. Unfortunately the service ruined what could have been a good meal. Unfortunately the service ruined what could have been a good meal. My steak arrived cold and had to be sent back.,2023-10-05
REV-00130,CLT-030,3,We couldn't stop eating the burger. It was uncomfortably crowded and the tables are too close together. Unfortunately the service ruined what could have been a good meal. The team here really knows how to take care of their guests. Parking was a nightmare near First Watch.,2023-08-20
REV-00131,CLT-031,4,The team here really knows how to take care of their guests. It's an okay spot for a casual meal. Their onion rings rivals anything I've had in Greater Charlotte.,2024-05-03
REV-00132,CLT-031,4,"The Greater Charlotte location has a great vibe. We couldn't stop eating the cheeseburger. Their fries rivals anything I've had in Greater Charlotte. Their onion rings rivals anything I've had in Greater Charlotte. The outdoor patio is fantastic, especially in the evening.",2023-01-10
REV-00133,CLT-032,4,Service was fast even on a busy Saturday night. Great spot for brunch in the Greater Charlotte area. We couldn't stop eating the gyro.,2023-10-07
REV-00134,CLT-032,4,"The decor gives it a cozy, authentic feel. The tabbouleh was absolutely delicious. Great service — our waiter was knowledgeable about the menu.",2023-07-17
REV-00135,CLT-032,5,"The outdoor patio is fantastic, especially in the evening. Best mediterranean food I've had in Charlotte. The shawarma was absolutely delicious. Service was fast even on a busy Saturday night. Great spot for brunch in the Greater Charlotte area. The team here really knows how to take care of their guests.",2023-03-05
REV-00136,CLT-032,3,"The decor gives it a cozy, authentic feel. My tabbouleh arrived cold and had to be sent back. We waited over 30 minutes just to get our drinks. The shawarma was fine — nothing special, nothing terrible. It's a decent option if you're in the Greater Charlotte area. The place could use a serious deep clean.",2024-01-12
